,Datetime,Text,Hashtags
0,2022-12-14 20:46:55+00:00,"RT @notnotstorm: excited to share that I recently joined @Paradigm as their first data associate ðŸ§® ðŸ“Š,"
1,2022-11-05 22:20:16+00:00,@DubJ @imaniperry https://t.co/uMAZlvOVwo,
2,2022-06-14 21:23:48+00:00,"RT @PlayWildcard: Wildcard is the game to change Web3ðŸ¦¾
https://t.co/XoAkZwdzus",
3,2022-06-06 16:42:14+00:00,RT @FEhrsam: Welcome Katie!,
4,2022-05-25 20:19:23+00:00,RT @FEhrsam: Introducing the Paradigm Fellowship: https://t.co/HJIyTK6U3Q,
5,2022-05-24 18:31:02+00:00,@dKingCoin What others would you like?,
6,2022-05-19 17:00:26+00:00,RT @matthuang: Welcome @caitlinxyz !,
7,2022-03-24 19:11:38+00:00,@Giga_Goblin @dmccarthy7 @transmissions11 https://t.co/1dkzHf1BNy,
8,2022-02-10 18:03:28+00:00,RT @FEhrsam: ðŸš¢,
9,2022-01-06 20:23:54+00:00,RT @matthuang: Welcome Sudhanshu!,
